Номенклатура,Код,Период,ФактПродаж,Предсказание,ОшибкаПрогноза,Фактический заказ,Предсказанный заказ,SafetyStock
"Картошка медовая в уп. 0,24",УП-00004460,2025-06-14 - 2025-07-13,38,50,12,29,47,5
Салат Витаминный с лимонной заправкой 150г,УП-00003746,2025-06-14 - 2025-07-13,21,48,27,23,51,5
Тарт с творожно - банан. начинкой 95г,УПП98466552,2025-06-14 - 2025-07-13,71,49,-22,90,49,12
ЭЧ-ПОЧМАК С КУРИЦЕЙ 100г,Э5415131   ,2025-06-14 - 2025-07-13,95,61,-34,90,26,11
"ДЕНЬ Хлеб ""Сергиевский"" бездрож.0,9кг",Э5501344   ,2025-06-14 - 2025-07-13,2,30,28,0,31,3
Салат Винегрет 200г,УП-00003486,2025-06-14 - 2025-07-13,22,50,28,25,44,6
"Пирожки ""Добрынинские"" с мясом 0,42",УП-00001204,2025-06-14 - 2025-07-13,1,34,33,0,28,5
Печенье злаковое Уральское 350 г,Э5932249   ,2025-06-14 - 2025-07-13,16,57,41,15,29,5
Конфеты КОКО 1 шт,Э5774375   ,2025-06-14 - 2025-07-13,112,62,-50,2,0,12
Мармелад  без сахара  с сухофруктами 170 г,Э5931804   ,2025-06-14 - 2025-07-13,8,37,29,0,32,3
Котлета по-киевски с картофельным пюре 250гр.,Э5679283   ,2025-06-14 - 2025-07-13,24,39,15,23,36,5
"Волшебный подарок 0,5",УП-00001120,2025-06-14 - 2025-07-13,21,42,21,12,36,4
"Ленинградский 0,8кг",00000004112,2025-06-14 - 2025-07-13,12,37,25,5,41,5
Пирожки Домашние с курицей 70г,УП-00004809,2025-06-14 - 2025-07-13,109,85,-24,111,79,19
ПЕРЕМЯЧ С МЯСОМ 90г,Э5415137   ,2025-06-14 - 2025-07-13,95,64,-31,93,25,12
"Пирожное ""кольца с творогом"" (в сахарной пудре) 0,300кг",Э5591682   ,2025-06-14 - 2025-07-13,25,47,22,17,49,5
Корзин.с белк. кремом в уп. 0.3,00000004029,2025-06-14 - 2025-07-13,42,46,4,32,14,6
"Ватрушки сл. «Добрынинские» с твор. и вишн. нач. 0,3",УП-00001198,2025-06-14 - 2025-07-13,15,37,22,17,0,4
Донат глазир.Шоколад с шоколадной начинкой 67г*,Э5933404   ,2025-06-14 - 2025-07-13,34,78,44,0,0,9
"Напиток Сенежская лимон-мята негазированный 0,44 л",УП-00003753,2025-06-14 - 2025-07-13,26,34,8,3,38,5
Салат Мимоза 250г,УП-00004072,2025-06-14 - 2025-07-13,12,33,21,14,27,4
Салат Оливье с колбасой 200г,УП-00003620,2025-06-14 - 2025-07-13,34,51,17,33,42,5
Корзиночка любительская в уп.0.3,00000004026,2025-06-14 - 2025-07-13,20,49,29,16,50,5
"Добрынинский с черн. смор. 0,85",УП-00002005,2025-06-14 - 2025-07-13,21,33,12,13,36,5
"Сочник с творогом 0,4",УП-00002126,2025-06-14 - 2025-07-13,16,29,13,31,0,4
Сэндвич-ролл Цезарь 170г,УП-00004077,2025-06-14 - 2025-07-13,32,51,19,29,50,5
ЭЧ-ПОЧМАК с ИНДЕЙКОЙ 150г,УП-00003070,2025-06-14 - 2025-07-13,48,40,-8,36,42,8
Ролл с курицей 190г,Э5932749   ,2025-06-14 - 2025-07-13,23,48,25,26,49,6
Шаурма с говядиной 230г,УП-00002587,2025-06-14 - 2025-07-13,16,53,37,16,57,5
Печенье злаковое Демидовское с цукатами 250 г,Э5932247   ,2025-06-14 - 2025-07-13,16,39,23,13,0,4
"Сметанный с вишней и орехами 0,65",УП-00004236,2025-06-14 - 2025-07-13,2,29,27,1,29,3
"Кольцо песочное с арахисом 0,15",УПП98467057,2025-06-14 - 2025-07-13,16,45,29,14,0,5
Слоен.труб.с белк.кремом  в уп. 0.1,УПП98464328,2025-06-14 - 2025-07-13,31,56,25,27,48,6
Картошка глазированная  в уп.0.400,00000004017,2025-06-14 - 2025-07-13,62,73,11,99,0,9
"Ряженка 4,0% 300 г БЗМЖ",УП-00004057,2025-06-14 - 2025-07-13,1,25,24,0,27,3
Куриное филе с помидорами под сыром с макаронами 250гр,УП-00003200,2025-06-14 - 2025-07-13,5,46,41,5,49,4
"Ватрушки сл. «Добрынинские» с твор. нач. и лим. 0,3",УП-00001199,2025-06-14 - 2025-07-13,11,32,21,9,33,4
Плов с курицей  250г,Э5933687   ,2025-06-14 - 2025-07-13,20,49,29,18,49,5
Круассан миндальный 120г,Э5822874   ,2025-06-14 - 2025-07-13,24,53,29,20,12,6
"ДЕНЬ Пирог ""Невский"" в/с 200гр",Э5750477   ,2025-06-14 - 2025-07-13,13,39,26,5,0,4
"Вишневый сок VI NATURE 0,75 л",УП-00003004,2025-06-14 - 2025-07-13,2,29,27,0,30,3
Мармелад жел.форм. Цитрусовые дольки 250г,УП-00005117,2025-06-14 - 2025-07-13,13,31,18,9,33,3
"Снежок 2,5 300г БЗМЖ",УП-00003714,2025-06-14 - 2025-07-13,2,34,32,0,32,3
"Квас Хлебный Лидский 1,5 л",УП-00004734,2025-06-14 - 2025-07-13,4,26,22,0,24,3
Суфле Original Pro молочное с ванилью в мол.шоколаде 30 г,УП-00005095,2025-06-14 - 2025-07-13,10,48,38,1,50,4
"Шоколадное драже ""Ассорти микс шоколад"" 100г",УП-00004168,2025-06-14 - 2025-07-13,3,39,36,0,41,4
